"land_use", "crop_type"
"Horticulture (Seasonal)", "Ginger"
"Horticulture (Seasonal)", "Granadilla"
"Horticulture (Seasonal)", "Kale"
"Horticulture (Seasonal)", "Kohlrabi"
"Horticulture (Seasonal)", "Leek"
"Horticulture (Seasonal)", "Lentil"
"Horticulture (Seasonal)", "Lespedeza"
"Horticulture (Seasonal)", "Lettuce"
"Horticulture (Seasonal)", "Makataan"
"Horticulture (Seasonal)", "Mustard"
"Horticulture (Seasonal)", "Mustard (White)"
"Horticulture (Seasonal)", "Onion"
"Horticulture (Seasonal)", "Paprika"
"Horticulture (Seasonal)", "Parsley"
"Horticulture (Seasonal)", "Parsnip"
"Horticulture (Seasonal)", "Pea"
"Horticulture (Seasonal)", "Pea (Dry)"
"Horticulture (Seasonal)", "Pepper"
"Horticulture (Seasonal)", "Pumpkin"
"Horticulture (Seasonal)", "Quince"
"Horticulture (Seasonal)", "Radish"
"Horticulture (Seasonal)", "Squash"
"Horticulture (Seasonal)", "Strawberry"
"Horticulture (Seasonal)", "Swede"
"Horticulture (Seasonal)", "Sweet Melon"
"Horticulture (Seasonal)", "Swiss Chard"
"Horticulture (Seasonal)", "Tomato"
"Horticulture (Seasonal)", "Turnip"
"Horticulture (Seasonal)", "Vetch (Common)"
"Horticulture (Seasonal)", "Vetch (Hairy)"
"Horticulture (Seasonal)", "Watermelon"
"Horticulture (Seasonal)", "Youngberry"
"Plantation", "Bluegum"
"Plantation", "Pine"
"Plantation", "Sugarcane"
"Plantation", "Wattle"
"Planted Pastures", "Birdsfoot Trefoil"
"Planted Pastures", "Carribean Stylo"
"Planted Pastures", "Clover"
"Planted Pastures", "Clover (Arrow Leaf)"
"Planted Pastures", "Clover (Crimson)"
"Planted Pastures", "Clover (Persian)"
"Planted Pastures", "Clover (Red)"
"Planted Pastures", "Clover (Rose)"
"Planted Pastures", "Clover (Strawberry)"
"Planted Pastures", "Clover (Subterranean)"
"Planted Pastures", "Clover (White)"
"Planted Pastures", "Kikuyu"
"Planted Pastures", "Lucerne"
"Planted Pastures", "Lupin"
"Planted Pastures", "Lupin (Narrow Leaf)"
"Planted Pastures", "Lupin (White)"
"Planted Pastures", "Lupin (Yellow)"
"Planted Pastures", "Medic"
"Planted Pastures", "Medic (Barrel)"
"Planted Pastures", "Medic (Burr)"
"Planted Pastures", "Medic (Gama)"
"Planted Pastures", "Medic (Snail)"
"Planted Pastures", "Medic (Strand)"
"Planted Pastures", "Ryegrass"
"Planted Pastures", "Ryegrass (Hybrid)"
"Planted Pastures", "Ryegrass (Italian)"
"Planted Pastures", "Ryegrass (Westerwolds)"
"Planted Pastures", "Serradella"
"Planted Pastures", "Serradella (Yellow)"
"Planted Pastures", "Silver Leaf Desmodium"
